City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
255,Sola,VU,78.42,overcast clouds,-13.8833,167.55,Leumerus Bungalows
256,Spirit River,CA,66.72,overcast clouds,55.7833,-118.8361,Motel 49
260,Avera,US,75.07,overcast clouds,33.194,-82.5271,
264,Port Elizabeth,ZA,71.89,clear sky,-33.918,25.5701,39 On Nile Guest House
266,Ler,SS,74.25,broken clouds,8.3018,30.1418,
267,Sena Madureira,BR,86.27,scattered clouds,-9.0656,-68.6569,Hotel Central
268,Gogrial,SS,75.43,scattered clouds,8.5332,28.1004,
270,Humaita,BR,84.4,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
274,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
276,Calbayog,PH,78.49,overcast clouds,12.0672,124.6042,Ciriaco Hotel & Resort
277,Alyangula,AU,76.03,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
281,Mackay,AU,73.04,clear sky,-21.15,149.2,International Lodge Motel
282,Hami,CN,68.76,scattered clouds,42.8,93.45,Laoyutang Resort
283,Sivaki,RU,67.42,few clouds,52.6333,126.75,
286,Meulaboh,ID,75.36,overcast clouds,4.1363,96.1285,Kost Pria
287,Norman Wells,CA,66.24,broken clouds,65.282,-126.8329,Heritage Hotel
288,Solnechnyy,RU,69.13,clear sky,50.7214,136.6319,Hotel complex Pastoral
290,Bheramara,BD,78.71,overcast clouds,24.0232,88.9925,Bimal kumer Agarwala
291,Cepu,ID,74.75,broken clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
292,Minuri,PH,77.16,clear sky,16.535,121.8574,
293,Vostok,RU,67.75,clear sky,46.4856,135.8833,
297,Khorramshahr,IR,87.76,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
301,Bud,US,80.58,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
302,Nikolayevsk-Na-Amure,RU,75.38,clear sky,53.1406,140.73,"Mini-hotel ""Quiet Harbor"""
304,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
306,Campbell River,CA,70.18,broken clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
307,Fernandez,AR,72.93,clear sky,-27.9204,-63.8935,Cordoba Hunting
308,Angoram,PG,78.06,overcast clouds,-4.0625,144.0661,
309,Sao Joao Da Barra,BR,71.42,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
314,Eyl,SO,77.74,few clouds,7.9803,49.8164,Amiin Hotel
316,Shelburne,CA,72.05,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
318,Sartell,US,86.4,few clouds,45.6216,-94.2069,AmericInn by Wyndham Sartell
323,Zlitan,LY,79.66,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
326,Russell,US,76.71,few clouds,32.3502,-85.1999,Macs
330,Rantepao,ID,68.63,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
332,Eureka,US,77.67,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
333,Ames,US,83.08,clear sky,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
334,Riyadh,SA,86.14,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
336,Ouesso,CG,70.97,overcast clouds,1.6136,16.0517,ABENIE Hotel
338,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
339,Ndende,GA,76.41,overcast clouds,-2.4008,11.3581,
340,Waingapu,ID,78.28,clear sky,-9.6567,120.2641,Pondok Wisata Elim
341,Mana,GF,77.68,scattered clouds,5.6592,-53.7767,LE SAMANA
342,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
343,Oromocto,CA,73.26,scattered clouds,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
345,Shache,CN,69.73,clear sky,38.4167,77.2406,Delong Hotel
346,Conakry,GN,75.27,light rain,9.538,-13.6773,Riviera Royal Hotel
347,Turayf,SA,73.65,clear sky,31.6725,38.6637,Turaif
351,Svetlaya,RU,66.42,clear sky,46.5389,138.3297,
352,Carutapera,BR,77.7,few clouds,-1.195,-46.02,Lidera
355,Yantzaza,EC,66.45,overcast clouds,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
357,Batticaloa,LK,80.37,overcast clouds,7.7102,81.6924,Grand Star Guest House
358,Hosakote,IN,72.99,overcast clouds,14.2769,77.1699,AVN lodge
362,Kolokani,ML,76.64,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
363,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
364,Katherine,AU,71.92,clear sky,-14.4667,132.2667,Pine Tree Motel
365,Teknaf,BD,78.26,overcast clouds,20.8624,92.3058,Forestry Guesthouse
366,Sassandra,CI,74.01,overcast clouds,4.95,-6.0833,la terrasse
368,Trebinje,BA,75.56,clear sky,42.7119,18.3442,Hotel Aćimović
371,Abu Kamal,SY,86.41,clear sky,34.4506,40.9171,محطة التلفاز
372,San Quintin,MX,76.6,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
373,Champasak,LA,72.36,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
374,Soubre,CI,72.0,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
376,Fairview,US,78.42,few clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
377,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
378,Amarkantak,IN,68.5,overcast clouds,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
380,Hoa Binh,VN,76.89,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
381,Cascas,PE,82.18,overcast clouds,-7.4833,-78.8167,Hotel *ROSA ERMILA*
385,Karratha,AU,72.95,clear sky,-20.7377,116.8463,ibis Styles Karratha
388,Nortelandia,BR,84.36,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
390,Takoradi,GH,75.51,scattered clouds,4.8845,-1.7554,Raybow International Hotel
