City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
124,Viedma,AR,-40.8135,-62.9967,61.83,26,95,17.67,overcast clouds,0.0,0
125,College,US,64.8569,-147.8028,52.59,93,90,9.22,moderate rain,1.36,0
126,Velizh,RU,55.6056,31.1967,56.28,97,51,4.45,broken clouds,0.0,0
127,Kishtwar,IN,33.3167,75.7667,57.22,71,0,5.32,clear sky,0.0,0
128,Vila Do Maio,CV,15.1333,-23.2167,79.59,90,99,8.32,overcast clouds,0.0,0
129,Souillac,MU,-20.5167,57.5167,68.38,77,40,11.5,light rain,0.18,0
130,Caravelas,BR,-17.7125,-39.2481,69.89,87,11,5.1,few clouds,0.0,0
131,Sur,OM,22.5667,59.5289,85.24,64,27,4.94,scattered clouds,0.0,0
132,Kasongo-Lunda,CD,-6.4667,16.8167,82.58,39,88,2.01,overcast clouds,0.0,0
133,Khandyga,RU,62.6667,135.6,69.89,69,90,4.43,overcast clouds,0.0,0
134,Waingapu,ID,-9.6567,120.2641,80.58,73,3,15.1,clear sky,0.0,0
135,Strezhevoy,RU,60.7333,77.5889,53.58,77,31,4.32,scattered clouds,0.0,0
136,Kodiak,US,57.79,-152.4072,65.71,45,1,16.11,clear sky,0.0,0
137,Lasa,IT,46.6166,10.7002,70.68,82,13,3.29,few clouds,0.0,0
138,Waipawa,NZ,-41.4122,175.5153,53.02,67,33,20.22,scattered clouds,0.0,0
139,Port Blair,IN,11.6667,92.75,78.91,86,100,14.9,heavy intensity rain,5.62,0
140,Muros,ES,42.7762,-9.0603,64.99,80,1,10.49,clear sky,0.0,0
141,Saint-Philippe,RE,-21.3585,55.7679,65.75,74,87,12.46,light rain,0.13,0
142,Lompoc,US,34.6391,-120.4579,87.78,78,1,13.8,clear sky,0.0,0
143,Avarua,CK,-21.2078,-159.775,71.65,83,75,10.36,light rain,0.13,0
