City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Vardo,NO,2021-08-13 04:08:00,70.3705,31.1107,53.8,91,100,5.14
122,New Norfolk,AU,2021-08-13 04:08:00,-42.7826,147.0587,58.5,88,95,8.34
123,Limbang,MY,2021-08-13 04:08:01,4.75,115.0,84.31,69,99,3.47
124,Monroe,US,2021-08-13 04:08:02,43.1501,-77.6831,76.51,88,75,3.44
125,Leo,BF,2021-08-13 04:06:18,11.1,-2.1,70.97,96,100,6.69
126,Santa Maria,BR,2021-08-13 04:04:41,-29.6842,-53.8069,46.65,87,100,8.97
127,Mount Gambier,AU,2021-08-13 04:08:02,-37.8333,140.7667,57.27,64,10,11.7
128,Pandaria,IN,2021-08-13 04:08:03,22.2333,81.4167,86.9,60,100,9.71
129,Guacimo,CR,2021-08-13 04:08:04,10.2104,-83.6807,82.0,97,85,2.46
130,Toamasina,MG,2021-08-13 04:08:04,-18.1667,49.3833,68.47,84,23,4.45
131,Namibe,AO,2021-08-13 04:08:05,-15.1961,12.1522,60.64,88,0,5.1
132,Rocha,UY,2021-08-13 04:08:05,-34.4833,-54.3333,38.59,93,0,3.53
133,Pevek,RU,2021-08-13 04:08:06,69.7008,170.3133,39.61,100,100,8.16
134,Ilabaya,PE,2021-08-13 04:08:06,-17.4208,-70.5133,61.86,42,2,1.48
135,Marquette,US,2021-08-13 04:08:07,46.5333,-87.6335,62.82,65,0,7.7
136,Geraldton,AU,2021-08-13 04:08:07,-28.7667,114.6,64.81,52,0,17.27
137,Victoria,HK,2021-08-13 04:08:07,22.2855,114.1577,86.97,86,96,10.42
138,Iznik,TR,2021-08-13 04:05:08,40.4286,29.7211,71.55,85,0,2.73
139,Norman Wells,CA,2021-08-13 04:08:08,65.282,-126.8329,59.92,69,100,4.97
140,Marsh Harbour,BS,2021-08-13 04:08:08,26.5412,-77.0636,83.14,77,58,11.61
141,Maldonado,UY,2021-08-13 04:08:09,-34.6667,-54.9167,42.22,92,0,4.09
142,Faanui,PF,2021-08-13 04:08:10,-16.4833,-151.75,79.2,68,9,13.76
143,Dikson,RU,2021-08-13 04:08:10,73.5069,80.5464,44.42,99,99,10.49
144,Busselton,AU,2021-08-13 04:08:10,-33.65,115.3333,61.09,69,89,8.14
145,Vao,NC,2021-08-13 04:08:11,-22.6667,167.4833,67.6,66,94,17.29
146,Nizwa,OM,2021-08-13 04:08:11,22.9333,57.5333,93.81,31,92,3.36
147,Palasa,IN,2021-08-13 04:08:12,18.7667,84.4167,89.19,64,100,3.02
148,Ilulissat,GL,2021-08-13 04:08:12,69.2167,-51.1,48.22,57,40,5.75
149,Yerbogachen,RU,2021-08-13 04:08:13,61.2767,108.0108,80.55,38,75,4.23
150,Sobolevo,RU,2021-08-13 04:08:13,54.4299,31.8996,56.1,93,97,8.28
151,Lompoc,US,2021-08-13 04:08:14,34.6391,-120.4579,69.1,87,90,5.75
152,Isangel,VU,2021-08-13 04:08:14,-19.55,169.2667,73.31,65,50,16.89
153,Northam,GB,2021-08-13 04:08:14,51.0333,-4.2167,61.66,93,100,11.92
154,Barrow,US,2021-08-13 04:05:02,71.2906,-156.7887,35.62,80,90,9.22
155,Valparaiso,CL,2021-08-13 04:03:49,-33.0393,-71.6273,46.08,84,1,4.72
156,Port Macquarie,AU,2021-08-13 04:07:15,-31.4333,152.9167,66.16,61,42,7.27
157,Kikwit,CD,2021-08-13 04:08:15,-5.041,18.8162,74.43,66,17,2.3
158,Nosy Varika,MG,2021-08-13 04:08:16,-20.5833,48.5333,66.24,86,7,6.29
159,Formosa,AR,2021-08-13 04:03:44,-26.1775,-58.1781,45.36,64,2,5.44
160,Yumen,CN,2021-08-13 04:08:16,40.2833,97.2,87.39,15,0,14.65
161,Pitimbu,BR,2021-08-13 04:08:17,-7.4706,-34.8086,72.19,85,3,9.73
162,Taltal,CL,2021-08-13 04:08:17,-25.4,-70.4833,55.9,75,0,3.96
163,Nanortalik,GL,2021-08-13 04:08:18,60.1432,-45.2371,44.4,82,67,6.4
164,Saa,CM,2021-08-13 04:08:18,4.3667,11.45,68.83,91,100,3.31
165,Qandala,SO,2021-08-13 04:08:19,11.472,49.8728,90.36,48,98,3.83
